shapeID	shapeLabel	target	propertyID	propertyLabel	valueShape	mandatory	severity	valueNodeType	repeatable	note
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:instanceOf	Instance of	big:Monograph:Work	true	Violation	IRI; bnode	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:title	Instance Title	big:Title	true	Violation	IRI; bnode	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:editionStatement	Edition Statement		true	Warning	literal	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:provisionActivity	Provision Activity--Publication Information	big:ProvisionActivity	true	Violation	IRI; bnode	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:seriesStatement	Series Statement		true	Warning	literal	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:identifiedBy	Identifiers		true	Warning	IRI; bnode	true	e.g., ISBN
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:issuance	Mode of Issuance		true	Violation	IRI; bnode	false	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:media	Media type		true	Violation	IRI; bnode	true	 
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:carrier	Carrier type		true	Violation	IRI; bnode	true	
big:Monograph:Instance:Print	Instance (Monograph) Print	bf:Print	bf:adminMetadata	Administrative metadata		true	Violation	IRI; bnode	true	*adminMetadata should be at the Work and Instance levels but the requirements are the same for both
big:Title	Instance Title	bf:Title	bf:mainTitle	Main Title		true	Violation	literal	false	Move to Title Sheet and add other title types
big:ProvisionActivity	Provision Activity	bf:ProvisionActivity	bf:agent	Agent	big:Agent	true	Warning	IRI; bnode	true	prefer use of bf:agent in Provision Activity but if no bf:agent exists, then use bf:simpleAgent (below)
big:Agent		bf:Agent ; bf:Person ; bf:Family ; bf:Organization ; bf:Jurisdiction ; bf:Meeting	rdfs:label	Agent Label		true	Warning	literal	true	
big:ProvisionActivity	Provision Activity	bf:ProvisionActivity	bflc:simpleAgent	Agent Simple Label	   	true	Warning	literal	true	prefer use of bf:agent (above) in Provision Activity but if no bf:agent exists, then use bf:simpleAgent
big:ProvisionActivity	Provision Activity	bf:ProvisionActivity; bf:Distribution; bf:Manufacture; bf:Production; bf:Publication; bf:Modification	bf:date	Date		true	Warning	literal	true	Pull both types of dates if they exist as the formatting may differ
big:ProvisionActivity	Provision Activity	bf:ProvisionActivity; bf:Distribution; bf:Manufacture; bf:Production; bf:Publication; bf:Modification	bflc:simpleDate	Simple Date		true	Warning	literal	true	Pull both types of dates if they exist as the formatting may differ
big:ProvisionActivity	Provision Activity	bf:ProvisionActivity; bf:Distribution; bf:Manufacture; bf:Production; bf:Publication; bf:Modification	bf:place 	Place	big:Place	true	Warning	IRI; bnode	true	Pull both bf:place and bf:simplePlace LC uses bf:place to indicate the country of publication
big:Place		bf:Place	rdfs:label	Place Label		true	Warning	literal	true	
ProvisionActivityShape	Provision Activity	bf:ProvisionActivity; bf:Distribution; bf:Manufacture; bf:Production; bf:Publication; bf:Modification	bflc:simplePlace	Place Simple Label		true	Warning	literal	true	
										
										
						   				
