shapeID	shapeLabel	target	propertyID	propertyLabel	valueShape	mandatory	severity	valueNodeType	repeatable	sh:or
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:title	Work Title	big:Title	true	Violation 	IRI ; bnode	false	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:contribution	Contribution	big:Contribution	true	Warning 	IRI ; bnode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:genreForm	Form/Genre of Work		true	Warning 	IRI ; bnode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:originDate	Date of Work		true	Info	literal	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:originPlace	Place of Origin of the Work		true	Info	IRI ; bnode	false	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:language	Language		true	Violation	IRI	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text; bf:Monograph	bf:relation	Relation	big:Relation	true	Warning	IRI ; blanknode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:subject	Subject of the Work		true	Warning	IRI ; bnode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:classification	Classification numbers		true	Warning	IRI ; bnode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:content 	Content Type		true	Violation	IRI ; bnode	true	
big:Monograph:Work	Work (Monograph) Text	bf:Text ; bf:Monograph	bf:adminMetadata	Administrative metadata		true	Violation	IRI ; bnode	true	
big:Title	Monograph Title	bf:Title	bf:mainTitle	Main Title		true	Violation	literal	true	
big:Contribution	Contribution	bf:Contribution ; bf:PrimaryContribution	bf:agent	Agent	big:Agent	true	Warning	IRI ; bnode	true	
big:Contribution	Contribution	bf:Contribution ; bf:PrimaryContribution	bf:role	Role	big:Role	true	Warning	IRI ; bnode	true	
big:Agent	Agent	bf:Agent ; bf:Person ; bf:Family ; bf:Organization ; bf:Jurisdiction ; bf:Meeting	rdfs:label ; bf:code	Agent Label		true	Warning	literal	true	
big:Role	Role	bf:Role	rdfs:label ; bf:code	Role Label	big:AdminMetadata	true	Warning	literal	true	
big:Relation	Relation	bf:Relation	bf:relationship	Relationship	big:Relationship	true	Violation	IRI ; bnode	false	
big:Relationship	Relationship	bf:Relationship	rdfs:label ; bf:code	Relationship Label		true	Warning	literal	true	
big:Relation	Relation	bf:Relation	bf:associatedResource	Associated Resource	big:Series	true	Violation	IRI ; bnode	true	
big:Series	Series	bf:Series	bf:title	Series title	big:Title	true	Violation	IRI ; bnode	false	
